Date,Adj Close,Open,High,Low,Vol.,Change %
12-Feb-20,1.2,1.23,1.23,1.16,76.17M,-2.44%
11-Feb-20,1.23,1.26,1.27,1.23,41.92M,-2.38%
10-Feb-20,1.26,1.26,1.28,1.23,56.33M,-3.82%
7-Feb-20,1.31,1.24,1.31,1.23,106.11M,6.50%
6-Feb-20,1.23,1.19,1.26,1.17,133.23M,6.03%
5-Feb-20,1.16,1.15,1.24,1.12,192.53M,0.87%
4-Feb-20,1.15,1.26,1.26,1.12,134.84M,-10.16%
3-Feb-20,1.28,1.35,1.35,1.27,57.67M,-10.49%
31-Jan-20,1.43,1.45,1.45,1.4,20.42M,-0.69%
30-Jan-20,1.44,1.5,1.5,1.44,13.74M,-2.70%
29-Jan-20,1.48,1.51,1.52,1.47,11.02M,-1.33%
28-Jan-20,1.5,1.5,1.52,1.4,25.63M,-3.85%
24-Jan-20,1.56,1.61,1.62,1.54,8.82M,-3.11%
23-Jan-20,1.61,1.62,1.62,1.6,7.63M,0.00%
22-Jan-20,1.61,1.63,1.64,1.61,7.42M,-1.23%
21-Jan-20,1.63,1.65,1.65,1.62,6.78M,0.00%
20-Jan-20,1.63,1.66,1.66,1.63,5.66M,-1.21%
17-Jan-20,1.65,1.68,1.68,1.64,8.82M,-1.79%
16-Jan-20,1.68,1.67,1.68,1.66,2.58M,1.20%
15-Jan-20,1.66,1.68,1.69,1.66,3.31M,-1.19%
14-Jan-20,1.68,1.72,1.72,1.68,4.07M,-2.33%
13-Jan-20,1.72,1.73,1.73,1.69,5.81M,0.58%
10-Jan-20,1.71,1.72,1.72,1.68,4.07M,1.18%
9-Jan-20,1.69,1.65,1.7,1.64,5.43M,3.05%
8-Jan-20,1.64,1.65,1.66,1.63,8.89M,-1.20%
7-Jan-20,1.66,1.68,1.68,1.66,3.37M,-1.19%
6-Jan-20,1.68,1.69,1.69,1.66,6.06M,-0.59%
3-Jan-20,1.69,1.69,1.72,1.69,8.14M,0.00%
2-Jan-20,1.69,1.71,1.71,1.69,4.17M,-0.59%
31-Dec-19,1.7,1.7,1.72,1.7,3.18M,0.00%
30-Dec-19,1.7,1.72,1.73,1.7,5.54M,-0.58%
27-Dec-19,1.71,1.72,1.73,1.7,3.43M,-0.58%
26-Dec-19,1.72,1.71,1.73,1.7,1.44M,0.00%
24-Dec-19,1.72,1.73,1.73,1.7,3.64M,-1.15%
23-Dec-19,1.74,1.74,1.75,1.72,5.87M,1.16%
20-Dec-19,1.72,1.75,1.75,1.7,6.77M,-1.71%
19-Dec-19,1.75,1.8,1.8,1.75,6.27M,-1.69%
18-Dec-19,1.78,1.76,1.79,1.74,8.48M,1.71%
17-Dec-19,1.75,1.7,1.78,1.69,15.01M,3.55%
16-Dec-19,1.69,1.67,1.72,1.65,8.76M,2.42%
13-Dec-19,1.65,1.65,1.67,1.64,9.39M,0.00%
12-Dec-19,1.65,1.67,1.67,1.65,4.40M,-0.60%
11-Dec-19,1.66,1.66,1.68,1.64,9.43M,0.00%
10-Dec-19,1.66,1.68,1.68,1.65,9.47M,-1.19%
9-Dec-19,1.68,1.7,1.72,1.68,4.46M,-0.59%
6-Dec-19,1.69,1.67,1.7,1.66,6.43M,1.20%
5-Dec-19,1.67,1.66,1.69,1.66,3.34M,0.00%
4-Dec-19,1.67,1.67,1.69,1.66,5.06M,0.00%
3-Dec-19,1.67,1.69,1.69,1.67,4.93M,-1.18%
2-Dec-19,1.69,1.7,1.72,1.67,8.02M,0.00%
29-Nov-19,1.69,1.72,1.72,1.68,4.90M,-1.17%
28-Nov-19,1.71,1.71,1.72,1.67,12.01M,-2.29%
27-Nov-19,1.75,1.76,1.79,1.71,5.66M,-0.57%
26-Nov-19,1.76,1.77,1.79,1.72,14.42M,-0.56%
25-Nov-19,1.77,1.79,1.8,1.75,5.86M,-0.56%
22-Nov-19,1.78,1.78,1.79,1.76,4.12M,0.00%
21-Nov-19,1.78,1.82,1.82,1.77,6.96M,-2.20%
20-Nov-19,1.82,1.85,1.86,1.81,13.00M,-2.15%
19-Nov-19,1.86,1.89,1.89,1.85,2.62M,-1.59%
18-Nov-19,1.89,1.87,1.89,1.84,3.06M,1.61%
15-Nov-19,1.86,1.84,1.87,1.84,1.52M,1.09%
14-Nov-19,1.84,1.89,1.89,1.83,5.24M,-2.65%
13-Nov-19,1.89,1.92,1.94,1.88,8.12M,-1.56%
12-Nov-19,1.92,1.92,1.94,1.91,3.30M,-0.52%
11-Nov-19,1.93,1.93,1.95,1.91,4.83M,-0.52%
